2026-04-23 16:49:10 [info     ] telegram message sent          chars=877 preview='<b>Startup Report</b> | Type: <code>startup_snapshot</code> | Cycles: <code>9780</code> | Detector runs: <code>146700</code> | Selected: <code>6</code> | Outcomes: <code>3</code> | Open tracked: <code>3</code> | Latest cycle: <code>2026-04-23T13:18:03.210184+00:00</code> | Market: regime=<code>volatile</code> btc=<code>neutral</code> eth=<code>downtrend</code> | Policy: runtime=<code>signal_only</code> source=<code>binance_only</code> pause=<code>3/5h</code> | Shortlist: source=<code>live</codeЕ'
2026-04-23 16:49:10 [info     ] telegram bot session closed
2026-04-23 16:49:10,401 | INFO    | bot.cli | configure_logging:121 | ================================================================================
2026-04-23 16:49:10,406 | INFO    | bot.cli | configure_logging:122 | BOT SESSION STARTED | 2026-04-23 13:49:10 UTC
2026-04-23 16:49:10,407 | INFO    | bot.cli | configure_logging:123 | LOG FILE | data\bot\logs\bot_20260423_134910_59960.log
2026-04-23 16:49:10,408 | INFO    | bot.cli | configure_logging:124 | DEBUG MODE | False
2026-04-23 16:49:10,411 | INFO    | bot.cli | configure_logging:125 | ASYNCIO DEBUG | False
2026-04-23 16:49:10,413 | INFO    | bot.cli | configure_logging:126 | ================================================================================
2026-04-23 16:49:10,419 | INFO    | bot.cli | _run_doctor_check:49 | DOCTOR OK | {"pid_lock": "data\\bot\\bot.pid", "logs_dir": "data\\bot\\logs", "telemetry_dir": "data\\bot\\telemetry", "db_path": "data\\bot\\bot.db", "config_filters": {"min_atr_pct": 0.5, "min_score": 0.66, "freshness_15m_minutes": 16, "freshness_1h_hours": 2}, "ws": {"base_url": "wss://fstream.binance.com", "public_base_url": "wss://fstream.binance.com/public", "market_base_url": "wss://fstream.binance.com/market", "subscribe_book_ticker": true}, "setups_enabled": {"structure_pullback": true, "structure_break_retest": true, "wick_trap_reversal": true, "squeeze_setup": true, "ema_bounce": true, "order_block": true, "breaker_block": true, "fvg_setup": true, "bos_choch": true, "liquidity_sweep": true, "turtle_soup": true, "cvd_divergence": true, "hidden_divergence": true, "funding_reversal": true, "session_killzone": true}}
2026-04-23 16:49:10,504 | INFO    | bot.ws_manager | set_event_bus:300 | EventBus attached to ws_manager
2026-04-23 16:49:10,504 | INFO    | bot.application.bot | __init__:91 | ws_manager initialized | pinned_symbols=4
2026-04-23 16:49:15,269 | INFO    | bot.application.bot | __init__:108 | MemoryRepository initialized | db=data\bot\bot.db
2026-04-23 16:49:15,871 | INFO    | bot.metrics | __init__:194 | metrics collector initialized on port 9090
2026-04-23 16:49:15,944 | INFO    | bot.metrics | start_server:203 | metrics server started on port 9090
2026-04-23 16:49:20,260 | INFO    | bot.dashboard | start_server:266 | dashboard server started on port 8080
2026-04-23 16:49:20,303 | INFO    | bot.tracking | _load_features_store:132 | features_store loaded | entries=3
2026-04-23 16:49:20,304 | INFO    | bot.core.engine.registry | register:51 | Registered strategy: structure_pullback (enabled=True)
2026-04-23 16:49:20,305 | INFO    | bot.application.bot | _register_strategies:207 | registered strategy structure_pullback (enabled=True)
2026-04-23 16:49:20,307 | INFO    | bot.core.engine.registry | register:51 | Registered strategy: structure_break_retest (enabled=True)
2026-04-23 16:49:20,307 | INFO    | bot.application.bot | _register_strategies:207 | registered strategy structure_break_retest (enabled=True)
2026-04-23 16:49:20,307 | INFO    | bot.core.engine.registry | register:51 | Registered strategy: wick_trap_reversal (enabled=True)
2026-04-23 16:49:20,313 | INFO    | bot.application.bot | _register_strategies:207 | registered strategy wick_trap_reversal (enabled=True)
